timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1775548902.8624,42,44,43,42,42,41,43,44,42,43,43,43
1775548903.0626,42,44,43,42,42,41,43,44,43,43,43,43
1775548903.2629,42,44,43,42,42,41,43,44,43,43,43,43
1775548903.4632,42,44,43,42,42,41,43,44,42,43,43,43
1775548903.6635,42,44,43,42,42,41,43,44,42,43,43,43
1775548903.8637,42,44,43,42,42,41,43,44,43,43,43,43
1775548904.0640,42,44,43,42,42,41,43,44,42,43,43,43
1775548904.2642,42,44,43,42,42,41,43,44,42,43,43,43
1775548904.4645,42,44,43,42,42,41,43,44,42,43,43,43
1775548904.6651,42,44,43,42,42,41,43,44,43,43,43,43
1775548904.8653,42,44,43,42,42,41,43,44,42,43,43,43
1775548905.0658,42,44,43,42,42,41,43,44,43,43,43,43
1775548905.2660,42,44,43,42,42,41,43,44,42,43,43,43
1775548905.4681,42,44,43,42,42,41,43,44,42,43,43,43
1775548905.6683,42,44,43,42,42,41,43,44,42,43,43,43
1775548905.8686,42,44,43,42,42,41,43,44,42,43,43,43
1775548906.0690,42,44,43,42,42,41,43,44,42,43,43,43
1775548906.2696,42,44,43,42,42,41,43,44,43,43,43,43
1775548906.4699,42,44,43,42,42,41,43,44,43,43,43,43
1775548906.6700,42,44,43,42,42,41,43,44,42,43,43,43
1775548906.8703,42,44,43,42,42,41,43,44,43,43,43,43
1775548907.0707,42,44,43,42,42,41,43,44,43,43,43,43
1775548907.2709,42,44,43,42,42,41,43,44,43,43,43,43
1775548907.4712,42,44,43,42,42,41,43,44,42,43,43,43
1775548907.6715,42,44,43,42,42,41,43,44,43,43,43,43
1775548907.8717,42,44,43,42,42,41,43,44,42,43,43,43
1775548908.0733,42,44,43,42,42,41,43,44,42,43,43,43
1775548908.2754,42,44,43,42,42,41,43,44,43,43,43,43
1775548908.4756,42,44,43,42,42,41,43,44,43,43,43,43
1775548908.6759,42,44,43,42,42,41,43,44,43,43,43,43
1775548908.8764,42,44,43,42,42,41,43,44,43,43,43,43
1775548909.0766,42,44,43,42,42,41,43,44,43,43,43,43
1775548909.2769,42,44,43,42,42,41,43,44,43,43,43,43
1775548909.4773,42,44,43,42,42,41,43,44,43,43,43,43
1775548909.6776,42,44,43,42,42,41,43,44,43,43,43,43
1775548909.8780,42,44,43,42,42,41,43,44,43,43,43,43
1775548910.0785,42,44,43,42,42,41,43,44,43,43,43,43
1775548910.2796,42,44,43,42,42,41,43,44,43,43,43,43
1775548910.4802,42,44,43,42,42,41,43,44,43,43,43,43
1775548910.6805,42,44,43,42,42,41,43,44,43,43,43,43
1775548910.8809,42,44,43,42,42,41,43,44,43,43,43,43
1775548911.0820,42,44,43,42,42,41,43,44,43,43,43,43
1775548911.2826,42,44,43,42,42,41,43,44,43,43,43,43
1775548911.4836,42,44,43,42,42,41,43,44,43,43,43,43
1775548911.6839,42,44,43,42,42,41,43,44,43,43,43,43
1775548911.8863,42,44,43,42,42,41,43,44,43,43,43,43
1775548912.0874,42,44,43,42,42,41,43,44,43,43,43,43
1775548912.2876,42,44,43,42,42,41,43,44,43,43,43,43
1775548912.4880,42,44,43,42,42,41,43,44,43,43,43,43
1775548912.6883,42,44,43,42,42,41,43,44,43,43,43,43
1775548912.8885,42,44,43,42,42,41,43,44,43,43,43,43
1775548913.0888,42,44,43,42,42,41,43,44,43,43,43,43
1775548913.2892,42,44,43,42,42,41,43,44,43,43,43,43
1775548913.4895,42,44,43,42,42,41,43,44,43,43,43,43
1775548913.6897,42,44,43,42,42,41,43,44,43,43,43,43
1775548913.8901,42,44,43,42,42,41,43,44,43,43,43,43
1775548914.0904,42,44,43,42,42,41,43,44,43,43,43,43
1775548914.2909,42,44,43,42,42,41,43,44,43,43,43,43
1775548914.4912,42,44,43,42,42,41,43,44,43,43,43,43
1775548914.6915,42,44,43,42,42,41,43,44,43,43,43,43
1775548914.8925,42,44,43,42,42,41,43,44,43,43,43,43
1775548915.0928,42,44,43,42,42,41,43,44,43,43,43,43
1775548915.2931,42,44,43,42,42,41,43,44,43,43,43,43
1775548915.4936,42,44,43,42,42,41,43,44,43,43,43,43
1775548915.6939,42,44,43,42,42,41,43,44,43,43,43,43
1775548915.8942,42,44,43,42,42,41,43,44,43,43,43,43
1775548916.0944,42,44,43,42,42,41,43,44,43,43,43,43
1775548916.2950,42,44,43,42,42,41,43,44,43,43,43,43
1775548916.4953,42,44,43,42,42,41,43,44,43,43,43,43
1775548916.6955,42,44,43,42,42,41,43,44,43,43,43,43
1775548916.8961,42,44,43,42,42,41,43,44,43,43,43,43
1775548917.0963,42,44,43,42,42,41,43,44,43,43,43,43
1775548917.2967,42,44,43,42,42,41,43,44,43,43,43,43
1775548917.4971,42,44,43,42,42,41,43,44,43,43,43,43
1775548917.6974,42,44,43,42,42,41,43,44,43,43,43,43
1775548917.8977,42,44,43,42,42,41,43,44,43,43,43,43
1775548918.0979,42,44,43,42,42,41,43,44,43,43,43,43
1775548918.2980,42,44,43,42,42,41,43,44,43,43,43,43
1775548918.4986,42,44,43,42,42,41,43,44,43,43,43,43
1775548918.6990,42,44,43,42,42,41,43,44,43,43,43,43
1775548918.8994,42,44,43,42,42,41,43,44,43,43,43,43
1775548919.0998,42,44,43,42,42,41,43,44,43,43,43,43
1775548919.3001,42,44,43,42,42,41,43,44,43,43,43,43
1775548919.5006,42,44,43,42,42,41,43,44,43,43,43,43
1775548919.7009,42,44,43,42,42,41,43,44,43,43,43,43
1775548919.9012,42,44,43,42,42,41,43,44,43,43,43,43
1775548920.1017,42,44,43,42,42,41,43,44,43,43,43,43
1775548920.3019,42,44,43,42,42,41,43,44,43,43,43,43
1775548920.5024,42,44,43,42,42,41,43,44,43,43,43,43
1775548920.7026,42,44,43,42,42,41,43,44,43,43,43,43
1775548920.9029,42,44,43,42,42,41,43,44,43,43,43,43
1775548921.1032,42,44,43,42,42,41,43,44,43,43,43,43
1775548921.3035,42,44,43,42,42,41,43,44,43,43,43,43
1775548921.5037,42,44,43,42,42,41,43,44,43,43,43,43
1775548921.7040,42,44,43,42,42,41,43,44,43,43,43,43
1775548921.9042,42,44,43,42,42,41,43,44,43,43,43,43
1775548922.1046,42,44,43,42,42,41,43,44,43,43,43,43
1775548922.3050,42,44,43,42,42,41,43,44,43,43,43,43
1775548922.5052,42,44,43,42,42,41,43,44,43,43,43,43
1775548922.7055,42,44,43,42,42,41,43,44,43,43,43,43
1775548922.9058,42,44,43,42,42,41,43,44,43,43,43,43
1775548923.1060,42,44,43,42,42,41,43,44,43,43,43,43
1775548923.3063,42,44,43,42,42,41,43,44,43,43,43,43
1775548923.5071,42,44,43,42,42,41,43,44,43,43,43,43
1775548923.7076,42,44,43,42,42,41,43,44,43,43,43,43
1775548923.9079,42,44,43,42,42,41,43,44,43,43,43,43
