timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777887610.3512,45,44,50,42,43,42,43,45,46,44,44,47
1777887610.5514,45,44,50,42,42,42,43,45,46,44,44,47
1777887610.7517,45,44,50,42,43,42,43,45,46,44,44,47
1777887610.9520,45,44,50,42,43,42,43,45,46,44,44,47
1777887611.1523,45,44,50,42,42,42,43,45,46,44,44,47
1777887611.3525,45,44,50,42,43,42,43,45,46,44,44,47
1777887611.5529,45,44,50,42,43,42,43,45,46,44,44,47
1777887611.7532,45,44,50,42,43,42,43,45,46,44,44,47
1777887611.9537,45,44,50,42,43,43,43,45,46,44,44,47
1777887612.1540,45,44,50,42,43,42,43,45,46,44,44,47
1777887612.3542,45,44,50,42,43,42,43,45,46,44,44,47
1777887612.5545,45,44,50,42,43,43,43,45,46,44,44,47
1777887612.7549,45,44,50,42,43,43,43,45,46,44,44,47
1777887612.9552,45,44,50,42,43,43,43,45,46,44,44,47
1777887613.1555,45,44,50,42,43,42,43,45,46,44,44,47
1777887613.3557,45,44,50,42,42,43,43,45,46,44,44,47
1777887613.5564,45,44,50,42,43,42,43,45,46,44,44,47
1777887613.7566,45,44,51,42,43,42,43,45,46,44,44,47
1777887613.9569,45,44,51,42,43,43,43,45,46,44,44,47
1777887614.1571,45,44,51,42,43,43,43,45,46,44,44,47
1777887614.3574,45,44,51,42,43,43,44,45,46,44,44,47
1777887614.5577,45,44,51,42,43,43,43,45,46,44,44,47
1777887614.7579,45,44,51,42,43,43,43,45,46,44,44,47
1777887614.9582,45,44,51,42,43,43,43,46,46,44,44,47
1777887615.1585,45,44,51,42,43,43,43,45,46,44,44,47
1777887615.3588,45,44,51,42,43,43,44,45,46,44,44,47
1777887615.5590,45,44,51,42,43,43,43,45,46,44,44,47
1777887615.7593,45,44,51,42,42,43,43,45,46,44,44,47
1777887615.9595,45,44,51,42,42,43,44,45,46,44,44,48
1777887616.1599,45,44,51,42,43,43,43,45,46,44,44,47
1777887616.3602,45,44,51,42,43,43,43,45,46,44,44,48
1777887616.5604,45,44,51,42,43,43,43,45,46,44,44,48
1777887616.7607,45,44,51,42,43,43,43,45,46,44,44,48
1777887616.9609,45,44,51,42,43,43,43,46,46,44,44,48
1777887617.1612,45,44,51,42,43,43,43,45,46,44,44,48
1777887617.3614,45,44,51,42,43,43,43,45,46,44,44,48
1777887617.5617,45,44,51,42,43,43,44,45,46,44,44,48
1777887617.7619,45,44,51,42,43,43,44,45,46,44,44,48
1777887617.9622,45,45,51,42,42,43,43,45,46,44,44,48
1777887618.1625,45,44,52,42,43,43,43,45,46,44,44,48
1777887618.3627,45,44,52,42,43,43,43,46,46,44,44,48
1777887618.5632,45,45,52,42,42,43,43,45,46,44,44,48
1777887618.7636,45,45,52,42,43,43,43,45,47,44,44,48
1777887618.9638,45,45,52,42,43,43,43,45,46,44,44,48
1777887619.1641,45,44,52,42,43,43,44,46,46,44,44,48
1777887619.3644,45,45,52,42,43,43,44,45,47,44,44,48
1777887619.5648,45,45,52,42,43,43,44,46,46,44,44,48
1777887619.7650,45,45,52,42,43,43,44,45,47,44,44,48
1777887619.9653,45,44,52,42,43,43,43,46,46,44,44,48
1777887620.1655,45,45,52,42,43,43,44,45,47,44,44,48
1777887620.3658,45,45,52,42,43,43,43,45,47,44,44,48
1777887620.5662,45,45,52,42,43,43,44,46,47,44,44,48
1777887620.7665,45,45,52,42,43,43,43,45,47,44,44,48
1777887620.9668,45,45,52,42,43,43,44,46,47,44,44,48
1777887621.1670,45,45,52,42,43,43,43,45,47,44,44,48
1777887621.3673,45,45,52,42,43,43,44,46,47,44,44,48
1777887621.5677,45,45,52,42,43,43,43,45,47,44,44,48
1777887621.7686,45,45,52,42,43,43,44,46,47,44,44,48
1777887621.9689,45,45,52,42,43,43,44,45,47,44,44,48
1777887622.1698,45,45,52,42,43,43,44,45,47,44,44,48
1777887622.3705,45,45,52,42,42,43,44,45,47,44,44,48
1777887622.5708,45,45,52,42,43,43,43,46,47,44,44,48
1777887622.7710,46,45,52,42,43,43,43,45,47,44,44,48
1777887622.9713,45,45,53,42,43,43,44,46,47,44,44,48
1777887623.1717,45,45,52,42,43,43,44,46,47,44,44,48
1777887623.3720,45,45,53,42,43,43,43,46,47,44,44,48
1777887623.5723,45,45,53,42,43,43,43,46,47,44,44,49
1777887623.7725,45,45,53,42,43,43,44,45,47,44,44,49
1777887623.9728,45,45,53,42,43,43,43,46,47,44,44,48
1777887624.1730,45,45,53,42,43,43,44,46,47,45,44,48
1777887624.3733,45,45,53,42,43,43,44,46,47,44,44,49
1777887624.5736,45,45,53,42,43,43,44,46,47,44,44,49
1777887624.7738,45,45,53,42,43,43,43,46,47,44,44,49
1777887624.9746,45,45,53,42,43,43,44,46,47,45,44,49
1777887625.1748,45,45,53,42,43,43,44,46,47,45,44,49
